Year,Quarter,Region,Unemployment Rate,Labor Force Participation,Inflation Rate,Population,GDP
2000,Q1,NCR,0.1057,0.586,0.051,"11,000,000",0.06
2000,Q2,NCR,0.1126,0.606,0.038,,0.011
2000,Q3,NCR,0.1128,0.583,0.044,,0.037
2000,Q4,NCR,0.1072,0.6,0.024,,0.016
2001,Q1,NCR,0.1121,0.592,0.05,"11,200,000",0.035
2001,Q2,NCR,0.1092,0.611,0.055,,0.029
2001,Q3,NCR,0.1053,0.591,0.036,,0.04
2001,Q4,NCR,0.113,0.62,0.05,,0.057
2002,Q1,NCR,0.1043,0.595,0.039,"11,400,000",0.069
2002,Q2,NCR,0.1022,0.615,0.03,,0.049
2002,Q3,NCR,0.1087,0.604,0.047,,0.062
2002,Q4,NCR,0.1021,0.597,0.052,,0.055
2003,Q1,NCR,0.1066,0.588,0.021,"11,600,000",0.037
2003,Q2,NCR,0.1029,0.601,0.036,,0.067
2003,Q3,NCR,0.1079,0.601,0.03,,0.042
2003,Q4,NCR,0.1026,0.584,0.021,,0.043
2004,Q1,NCR,0.1004,0.612,0.029,"11,800,000",0.022
2004,Q2,NCR,0.1037,0.617,0.037,,0.06
2004,Q3,NCR,0.0983,0.589,0.041,,0.069
2004,Q4,NCR,0.101,0.6,0.033,,0.052
2005,Q1,NCR,0.0993,0.598,0.038,"12,000,000",0.069
2005,Q2,NCR,0.1033,0.584,0.058,,0.033
2005,Q3,NCR,0.0976,0.599,0.05,,0.056
2005,Q4,NCR,0.1023,0.613,0.025,,0.061
2006,Q1,NCR,0.0932,0.607,0.045,"12,200,000",0.054
2006,Q2,NCR,0.0989,0.6,0.051,,0.037
2006,Q3,NCR,0.1023,0.591,0.028,,0.063
2006,Q4,NCR,0.0981,0.605,0.053,,0.051
2007,Q1,NCR,0.0941,0.594,0.021,"12,400,000",0.043
2007,Q2,NCR,0.1007,0.605,0.042,,0.058
2007,Q3,NCR,0.0983,0.588,0.023,,0.023
2007,Q4,NCR,0.0991,0.599,0.037,,0.06
2008,Q1,NCR,0.0907,0.591,0.07,"12,600,000",0.029
2008,Q2,NCR,0.0892,0.609,0.096,,0.065
2008,Q3,NCR,0.09,0.593,0.062,,0.048
2008,Q4,NCR,0.0902,0.609,0.087,,0.06
2009,Q1,NCR,0.0895,0.584,0.02,"12,800,000",0.039
2009,Q2,NCR,0.0883,0.586,0.05,,0.026
2009,Q3,NCR,0.0957,0.611,0.028,,0.038
2009,Q4,NCR,0.087,0.584,0.056,,-0.003
2010,Q1,NCR,0.0875,0.593,0.026,"13,000,000",0.054
2010,Q2,NCR,0.0919,0.614,0.027,,0.011
2010,Q3,NCR,0.0921,0.613,0.034,,0.014
2010,Q4,NCR,0.0937,0.61,0.05,,0.047
2011,Q1,NCR,0.0854,0.581,0.059,"13,200,000",0.055
2011,Q2,NCR,0.084,0.601,0.037,,0.035
2011,Q3,NCR,0.0865,0.62,0.032,,0.054
2011,Q4,NCR,0.0849,0.589,0.049,,0.031
2012,Q1,NCR,0.0839,0.58,0.047,"13,400,000",0.045
2012,Q2,NCR,0.0887,0.601,0.031,,0.015
2012,Q3,NCR,0.0883,0.616,0.046,,0.062
2012,Q4,NCR,0.0858,0.584,0.034,,0.063
2013,Q1,NCR,0.0833,0.584,0.05,"13,600,000",0.059
2013,Q2,NCR,0.0834,0.588,0.032,,0.057
2013,Q3,NCR,0.0824,0.618,0.044,,0.023
2013,Q4,NCR,0.0854,0.602,0.02,,0.028
2014,Q1,NCR,0.083,0.607,0.053,"13,800,000",0.025
2014,Q2,NCR,0.0771,0.612,0.048,,0.045
2014,Q3,NCR,0.085,0.593,0.033,,0.022
2014,Q4,NCR,0.0833,0.613,0.025,,0.017
2015,Q1,NCR,0.0832,0.612,0.033,"14,000,000",0.058
2015,Q2,NCR,0.0752,0.614,0.059,,0.066
2015,Q3,NCR,0.078,0.605,0.043,,0.022
2015,Q4,NCR,0.0767,0.6,0.035,,0.059
2016,Q1,NCR,0.0737,0.616,0.053,"14,200,000",0.029
2016,Q2,NCR,0.0826,0.607,0.058,,0.014
2016,Q3,NCR,0.0791,0.58,0.055,,0.041
2016,Q4,NCR,0.0767,0.604,0.023,,0.019
2017,Q1,NCR,0.0789,0.6,0.051,"14,400,000",0.027
2017,Q2,NCR,0.0741,0.62,0.044,,0.059
2017,Q3,NCR,0.0775,0.585,0.051,,0.038
2017,Q4,NCR,0.076,0.599,0.023,,0.06
2018,Q1,NCR,0.0756,0.596,0.047,"14,600,000",0.018
2018,Q2,NCR,0.0774,0.599,0.043,,0.054
2018,Q3,NCR,0.0709,0.606,0.042,,0.043
2018,Q4,NCR,0.0692,0.616,0.054,,0.023
2019,Q1,NCR,0.0747,0.611,0.043,"14,800,000",0.034
2019,Q2,NCR,0.0728,0.618,0.022,,0.02
2019,Q3,NCR,0.0737,0.617,0.056,,0.06
2019,Q4,NCR,0.0688,0.597,0.028,,0.032
2020.1,Q1,NCR,0.053,0.595,0.026,"13,484,462",-0.007
2020.2,Q2,NCR,0.177,,0.023,,-0.169
2020.3,Q3,NCR,0.158,,0.025,,-0.114
2020.4,Q4,NCR,0.087,,0.033,,-0.083
2021.1,Q1,NCR,0.0823,0.542,0.045,"13,484,462",-0.039
2021.2,Q2,NCR,0.144,,0.041,,12.15
2021.3,Q3,NCR,0.09,,0.048,,0.07
2021.4,Q4,NCR,0.066,,0.031,,0.078
2022.1,Q1,NCR,0.064,0.647,0.037,"13,484,462",0.082
2022.2,Q2,NCR,0.057,,0.054,,0.075
2022.3,Q3,NCR,0.069,,0.065,,0.076
2022.4,Q4,NCR,0.05,,0.079,,0.071
2023.1,Q1,NCR,0.065,0.649,0.083,"14, 001, 751",0.064
2023.2,Q2,NCR,0.06,,0.062,,0.043
2023.3,Q3,NCR,0.049,,0.053,,0.059
2023.4,Q4,NCR,0.054,,0.039,,0.055
2024.1,Q1,NCR,0.058,0.635,0.033,"14, 001, 751",0.057
2024.2,Q2,NCR,0.054,,0.038,,0.063
2024.3,Q3,NCR,0.052,,0.047,,0.052
2024.4,Q4,NCR,0.05,,0.036,,0.053
2025.1,Q1,NCR,0.052,0.633,0.034,"14, 490, 000",0.054
2025.2,Q2,NCR,0.05,,0.036,,0.055
2025.3,Q3,NCR,0.048,,0.038,,0.044
2025.4,Q4,NCR,0.046,,0.032,,0.03
